Result ID,Result Description,Dialogue ID,비고
Result_girl,우연의 성별을 여자로 설정 후 대사 복귀,Prologue_006,
Result_boy,우연의 성별을 남자로 설정 후 대사 복귀,Prologue_007,
ResultCloseEyes,눈 깜박거리는 효과,,
ResultName,이름 입력창,,나현 추가 (6/15)
ResultBirth,생일 입력창,,나현 추가 (6/15)
ResultNameSetting,,,
ResultBirthSetting,,,
Result_002,설명창 띄우기,,밑의 행동력 감소랑 id가 똑같이 되어 있어서 잠시 002로 변경해뒀습니다
ResultPrologueEnd,프롤로그 끝 (씬 이동),,나현 추가 (6/15)
ResultTimePass,행동력 감소,,
ResultClueCompleted,조사 완료 스크립트,RoomEscape_008,
,,,
Result_nextTutorialPhase,튜토리얼 다음 페이즈로 진행,,
Result_TutorialPhase1Force,,TutorialForce_001,
Result_TutorialPhase2ChairStateCheck,,,
Result_TutorialPhase2ForceSide1,사이드1번방에서 의자 이미지 강조하면서 스크립트,TutorialForce_002,
Result_TutorialPhase2Force,사이드2or3번방에서 의자 강조 스크립트,,
Result_TutorialPhase3ForceSide1,사이드1번방에서 덮인 카펫 이미지 강조하면서 스크립트,TutorialForce_003,
Result_TutorialPhase3Force,사이드2or3번방에서 덮인 카펫 강조 스크립트,,
Result_TutorialPhase4ForceSide1,사이드1번방에서 종이 이미지 강조하면서 스크립트,TutorialForce_004,
Result_TutorialPhase4Force,사이드2or3번방에서 종이 강조 스크립트,,
Result_TutorialPhase5ForceSide1,사이드1번방에서 열린 카펫 이미지 강조하면서 스크립트,TutorialForce_005,
Result_TutorialPhase5Force,사이드2or3번방에서 열린 카펫 강조 스크립트,,
,,,
Result_DayPass_Day1,fade in/out 후 대사 출력 (1일차),,
Result_DayPass_Day2,fade in/out 후 대사 출력 (2&3일차),,
Result_DayPass_Day3,fade in/out 후 대사 출력 (4일차),,
,,,
Result_FadeOut,fade out,,
Result_FadeIn,fade in,,
,,,
ResultInquiry,조사 선택,,RoomEscape_Inquiry 또는 RoomEscape_Inquiry2
ResultInquiryYes,,,
ResultInquiryNo,,,
,,,
ResultBedChoice,침대 선택지 조사랑 휴식 나오게 ,RoomEscape_BedClick,
ResultBlanketCheck,조사 누르면 침대 조사 시스템나오게 하고 선택지뜸,,
,,,
Result_StartHomecoming,휴식 대사 스크립트 끝난 다음 귀가 대사 스크립트 출력되게 RefillHeartsOrEndDay 호출,,
Result_NextMorningDay,fade in/out effect 실행 후 아침 대사 출력하는 메소드 호출,,
,,,
ResultTeddyBearScript,곰인형에 대한 설명,RoomEscape_001,
ResultBlanketScript,이불에 대한 설명,RoomEscape_002,
ResultDrinkAndMedicineScript,술과 감기약에 대한 설명,RoomEscape_003,
ResultDrinkAndMedicinMemo,술과 감기약에 대한 메모,R1Memo_012,
ResultStandLightScript,책상 위 스탠드에 대한 설명,RoomEscape_004,
ResultBearStorageClosetyScript,인형 수납장에 대한 설명,RoomEscape_005,
,,,
Result_showZoomedPillow,배게와 침대 위 인형 클로즈업 함,,
,,,
ResultPillowScript,베개에 대한 설명,RoomEscape_006,
ResultPillowAmuletScript,베개 안에 부적을 발견,RoomEscape_007,
ResultPillowAmuletMemo,부적에 대한 메모 작성,R1Memo_001,
,,,
Result_showZoomedDeskShelf,책상 위 선반 클로즈업 함,,
,,,
ResultDiaryScript,다이어리에 대한 설명,RoomEscape_009,
ResultDiaryLockActivation,다이어리 잠금 장치 활성화됨,,
ResultDiaryLockOpen,다이어리가 열림,,
ResultDiaryMemo,다이어리에 대한 메모가 작성됨,R1Memo_002,
ResultDiaryContentScript,다이어리에 대한 스크립트,RoomEscape_010,
ResultDiaryLockFailedScript,다이어리 비밀번호를 틀렸다는 스크립트,RoomEscape_011,
,,,
Result_showClockImage,시계 확대 이미지 표시,,
ResultClockScript,시계에 대한 설명,RoomEscape_012,
ResultClockSystemActivartion,시계 시스템 활성화,,
ResultClockGetKey,열쇠를 획득,,
ResultClockGetKeyScript,열쇠를 획득 후 스크립트,RoomEscape_013,
ResultClockGetKeyMemo,열쇠 획득 후 메모,R1Memo_003,
,,,
ResultChairMoved,의자가 옆으로 이동함,,
,,,
Result_showZoomedDesk,책상 클로즈업 함,,
,,,
ResultLaptopScript,노트북에 대한 설명,RoomEscape_014,
ResultLaptopLockActivation,노트북 비밀번호 화면 활성화,,
ResultLaptopLockOpen,노트북이 열림,,
ResultLaptopMemo,노트북에 대한 설명이 메모에 기록됨,R1Memo_004,
ResultLaptopContentScript,노트북에 대한 스크립트 출력,RoomEscape_015,
ResultLaptopLockFailedScript,노트북 비밀번호 틀림에 대한 설명,RoomEscape_016,
,,,
ResultCarpetOpen,카펫이 들쳐짐,,
ResultCarpetDropOutLetterZoom,종이를 확대해주는 UI,,
ResultCarpetDropOutLetterScript,종이에 대한 스크립트,RoomEscape_017,
ResultCarpetDropOutLetterMemo,종이에 대한 메모,R1Memo_006,
ResultCarpetClosed,카펫이 원래대로 돌아감,RoomEscape_018,
,,,
ResultPosterScript,포스터에 대한 설명 스크립트.,RoomEscape_019,
ResultCutterKnifeScript,커터칼에 대한 설명 스크립트,RoomEscape_020,
ResultCutterKnifeDisappear,커터칼 사라짐,,
ResultPosterWithKnifeScript,포스터 뒷장에 대한 설명.,RoomEscape_021,
ResultPosterMemo,포스터에 대한 메모,R1Memo_005,
ResultPosterOversideImageAndSound,포스터 뒷장 이미지와 효과음,,
,,,
ResultClosetDoorsOpen,옷장 문이 열림,,
ResultClosetDoorsClosed,옷장 문이 닫힘,,
ResultCloseFirstClickScript,옷장을 처음 상호작용 했을 때 스크립트,RoomEscape_022,
,,,
ResultClosetBagScript,가방을 클릭했을 때 스크립트,RoomEscape_023,
ResultClosetBagMemo,가방 내에 전단지에 대한 메모,R1Memo_013,
,,,
ResultClosetBoxWithoutKeyScript,상자에 대한 설명 스크립트(열쇠X일때),RoomEscape_024,
ResultClosetBoxScript,상자가 열리는 스크립트,RoomEscape_025,
ResultClosetBoxSound,"상자가 열리는 ""딸깍"" 사운드",,
ResultClosetBoxPicturesUI,상자 안 사진들이 UI로 보임,,
ResultClosetBoxMemo,옷장 위 상자에 대한 메모,R1Memo_011,새로 추가되었습니다
,,,
ResultCabinetDoorsOpenScript,서랍장이 열리는 스크립트,RoomEscape_026,
ResultCabinetDoorsOpen,서랍장이 열림,,
ResultCabinetDoorsClosed,서랍장이 닫힘,,
,,,
ResultCalendarOpen,달력이 열림,,
ResultCalendarFBDScirpt,필연의 생일에 대한 스크립트,RoomEscape_027,
ResultCalendarABDScript,우연의 생일에 대한 스크립트,RoomEscape_028,
ResultCalendar1031Script,10월 31일에 대한 스크립트,RoomEscape_029,
ResultCalendar1001Script,10월 1일에 대한 스크립트,RoomEscape_030,
ResultCalendarFBDMemo,필연 생일 메모,R1Memo_007,
ResultCalendarABDMemo,우연 생일 메모,R1Memo_008,
ResultCalendar1031Memo,10월 31일 메모,R1Memo_009,
ResultCalendar1001Memo,10월 1일 메모,R1Memo_010,
,,,
ResultClosetZoom,옷장 확대 화면으로 전환,,
ResultCabinetZoom,서랍장 확대 화면으로 전환,,
,,,
ResultShoppingBagScript,쇼핑백에 대한 스크립트,RoomEscape_031,
ResultNomalPoasterScript,포스터에 대한 스크립트,RoomEscape_032,
ResultStorageTeddyBeaScript,인형에 대한 스크립트,RoomEscape_033,
,,,
Result_restButton,화면에서 휴식버튼 클릭,RoomEscape_034,
Result_restYes,휴식버튼 선택지 예 버튼 눌렀을 때,눈깜빡 효과 이후에 RoomEscape_035 ,
Result_restNo,휴식버튼 아니오 버튼 눌렀을 때,,
,,,
Result_Room1HomeComing2,,RoomEscapeS_001 or RoomEscapeS_003,
Result_Room1HomeComing3,,RoomEscapeS_005,
Result_Room1HomeComing4,,RoomEscapeS_008,
Result_Room1HomeComing5,,RoomEscapeS_012 or RoomEscapeS_013,
,,,
Result_Room1Morning2,,RoomEscapeS_004,
Result_Room1Morning3,,RoomEscapeS_015,
Result_Room1Morning4,,RoomEscapeS_015,
Result_Room1Morning5,,RoomEscapeS_014,
,,,
ResultNewTeddyBearScript,다회차 곰인형 ,RoomEscape2nd_001,
ResultNewTeddyBearMemo,다회차 곰인형 메모,R1Memo_014,
ResultNewTeddyBearZoom,다회차 곰인형 확대,,
,,,
ResultBooksScript,다이어리 옆 책 스크립트,RoomEscape_036,
,,,
ResultShelfBearScript,다이어리 선반위 곰인형 스크립트,RoomEscape_037,
,,,
ResultClosetUnderScript,옷장 밑 부분 스크립트,RoomEscape_038,
,,,
ResultDoorBearScript,문 앞 곰인형 장식 스크립트,RoomEscape_039,
,,,
ResultDoorScript,문 스크립트,RoomEscape_040,
,,,
,,,
ResultEndRoom1,FOLLOW_1씬 호출,,
ResultBedTeddy2Script,방탈출2 침대 위 곰인형 스크립트,RoomEscape2_001,
ResultStandLight2Script,방탈출2 책상 위 스탠드 스크립트,RoomEscape2_002,
ResultUpDeskBook2Script,방탈출2 책상 위 책들 스크립트,RoomEscape2_003,
ResultUnderDeskBook2Script,방탈출2 책상 아래 책  스크립트,RoomEscape2_004,
ResultShelfBook2Script,방탈출2 선반 위 쓰러진 책 스크립트,RoomEscape2_005,
ResultShelfTeddyBear2Script,방탈출2 선반 위 쓰러진 곰인형 스크립트,RoomEscape2_006,
ResultClock2Script,방탈출2 시계 스크립트,RoomEscape2_007,
ResultNormalPoster2Script,방탈출2 평범한 포스터 스크립트,RoomEscape2_008,
ResultClosetBox2Script,방탈출2 옷장 위 박스 스크립트,RoomEscape2_009,
ResultUnderPhoto2Script,방탈출2 옷장 아래 사진 스크립트,RoomEscape2_010,
,,,
ResultHospitalFlyer2Script,방탈출2 병원 전단지  스크립트,RoomEscape2_011,
ResultHospitalFlyer2Memo,방탈출2 병원 전단지 메모,R2Memo_001,추후 추가 예정
ResultHospitalFlyer2Zoom,방탈출2 병원 전단지 확대 UI,,
,,,
ResultPoster2Script,방탈출2 바다 포스터 스크립트,RoomEscape2_012,
ResultPoster2Memo,방탈출2 바다 포스터 메모,R2Memo_002,추후 추가 예정
ResultPoster2Zoom,방탈출2 바다 포스터 확대 UI,,
,,,
ResultStarSticker2Script,방탈출2 별 스티커 스크립트,RoomEscape2_017,
ResultStarSticker2Memo,방탈출2 별 스티커 메모,R2Memo_005,추후 추가 예정
ResultStarSticker2Zoom,방탈출2 별 스티커 확대 UI,,
,,,
ResultShoppingBag2Script,방탈출2 쇼핑백 스크립트,RoomEscape2_022,
ResultShoppingBag2Memo,방탈출2 쇼핑백 메모,R2Memo_008,추후 추가 예정
ResultShoppingBag2Zoom,방탈출2 쇼핑백  확대 UI,,
,,,
Result_showTinCaseImage,틴케이스 확대 이미지 표시,,
ResultTinCaseScript,틴케이스에 대한 설명,RoomEscape2_020,
ResultTinCaseSystemActivartion,틴케이스 비밀번호 시스템 활성화,,
ResultTinCaseFailedScript,틴케이스 비밀번호 틀림에 대한 설명,RoomEscape2_036,
ResultTinCaseGetTicket,티켓을 획득,,
ResultTinCaseGetTicketScript,티켓을 획득 후 스크립트,RoomEscape2_021,
ResultTinCaseGetTicketMemo,티켓 획득 후 메모,R2Memo_007,
,,,
Result_showSewingBoxImage,반짇고리 상자 확대 이미지 표시,,
ResultSewingBoxScript,반짇고리에 대한 설명,RoomEscape2_018,
ResultSewingBoxSystemActivartion,반짇고리 퍼즐 시스템 활성화,,
ResultSewingBoxPuzzleFailedScript,반짇고리 퍼즐 틀림에 대한 설명,RoomEscape2_037,
ResultSewingBoxGetThreadAndNeedle,실과 바늘을 획득,,
ResultSewingBoxGetThreadAndNeedleScript,실과 바늘을 획득 후 스크립트,RoomEscape2_019,
ResultSewingBoxGetThreadAndNeedleMemo,실과 바늘 획득 후 메모,R2Memo_006,
,,,
ResultBrokenTeddyBear2NoThreadAndNeedleScript,실바늘 없을때 곰인형에 대한 설명,RoomEscape2_013,
ResultBrokenTeddyBear2YesThreadAndNeedleScript,실바늘 있을때 곰인형 설명,RoomEscape2_023,
ResultFixTeddyBear,망가진 곰인형을 고침,,
ResultBrokenTeddyBear2Yes,약 먹음,RoomEscape2_024,
ResultBrokenTeddyBear2No,약을 안 먹음,RoomEscape2_025,
ResultEatEnergySupplement,약먹는 스크립트 끝나면 하트2개 채워짐,,
,,,
Result_showZoomedBox,옷장 위 상자 클로즈업 함,,
Result_showZoomedClosetUnder,옷장 아래 영역을 클로즈업 함,,
Result_showZoomedMedicine2,약을 클로즈업 함,,
Result_showZoomedShoppingBags,쇼핑백을 클로즈업 함,,
,,,
ResultDiary2Script,다이어리에 대한 설명,RoomEscape2_014,
ResultDiary2LockActivation,다이어리 잠금 장치 활성화됨,,
ResultDiary2LockOpen,다이어리가 열림,,
ResultDiary2Memo,다이어리에 대한 메모가 작성됨,R2Memo_003,
ResultDiary2ContentScript,다이어리에 대한 스크립트,,다이어리 다이어리 내용 다 확인 후 RoomEscape2_016
ResultDiary2LockFailedScript,다이어리 비밀번호를 틀렸다는 스크립트,RoomEscape_011,나가기 버튼 누르면 RoomEscape2_015 출력
,,,
ResultWardrobeUpDrawersOpenScript,방탈출2 옷장 서랍장 위칸이 열리는 스크립트,RoomEscape2_038,
ResultWardrobeUpDrawersOpen,방탈출2 옷장 서랍장 위칸이 열림,,
ResultWardrobeUpDrawersClosed,방탈출2 옷장 서랍장 위칸이 닫힘,,
ResultWardrobeDownDrawersOpenScript,방탈출2 옷장 서랍장 아래칸이 열리는 스크립트,RoomEscape2_039,
ResultWardrobeDownDrawersOpen,방탈출2 옷장 서랍장 아래칸이 열림,,
ResultWardrobeDownDrawersClosed,방탈출2 옷장 서랍장 아래칸이 닫힘,,
,,,
ResultMedicine2Script,방탈출2 선반 위 약 스크립트,RoomEscape2_026,
ResultMedicine2Memo,방탈출 2 선반 위 약 메모,R2Memo_010,
ResultMedicine2Zoom,방탈출 2 선반 위 약 확대 UI,,
,,,
ResultWardrobeUpClothes2Script,,,테스트
ResultDreamDiary2Script,,,테스트
ResultWardrobeUnderClothes2Script,,,테스트
,,,
Result_showBook2CoverImage,,,
ResultBook2Script,떨어진 책 한권,RoomEscape2_015,
ResultBook2Memo,책에 대한 메모,R2Memo_004,
ResultBook2SystemActivartion,,,
,,,
ResultClosetKey2Script,옷장 안 열쇠 스크립트,RoomEscape2_028,
ResultClosetKey2Zoom,옷장 안 열쇠 줌,,
ResultClosetKey2Disappear,옷장 안 열쇠 사라짐,,
,,,
ResultDreamDiary2Script,옷장 안 꿈일기 발견 스크립트,RoomEscape2_034,
ResultDreamDiary2WithKeyScript,열쇠 발견 후 꿈일기 발견 스크립트,RoomEscape2_035,
ResultDreamDiary2Memo,꿈일기에 대한 메모,R2Memo_009,
ResultDreamDiary2SystemActivartion,,,
,,,
,,,
ResultClosetBag2Script,옷장 안 가방 스크립트,RoomEscape2_029,
ResultClosetNamecard2Script,옷장 안 명함들 스크립트,RoomEscape2_030,
ResultClosetClothAndBag2Script,옷장 안 정리 안된 옷 스크립트,RoomEscape2_031,
ResultUnderClosetClothes2Script,옷장 아래 헝클어진 옷들 스크립트,RoomEscape2_033,
,,,
Result_Room2HomeComing2,,RoomEscape2S_004,
Result_Room2HomeComing3,,RoomEscape2S_006,
Result_Room2HomeComing4,,RoomEscape2S_009,
Result_Room2HomeComing5,,RoomEscape2S_012,
,,,
Result_Room2Morning2,,RoomEscape2S_005,
Result_Room2Morning3,,RoomEscape2S_008,
Result_Room2Morning4,,RoomEscape2S_011,
Result_Room2Morning5,,RoomEscape2S_014,
,,,
ResultEndRoom2,스크립트 출력 및 FOLLOW_2씬 호출,RoomEscape2S_016,
,,,
ResultVillaScript,빌라에 대한 스크립트,Follow_002,
ResultBreadScript,빵집에 대한 스크립트,Follow_003,
ResultConScript,편의점에 대한 스크립트,Follow_004,
ResultBarScript,바에 대한 스크립트,Follow_005,
ResultIzakayaScript,이자카야에 대한 스크립트,Follow_006,
ResultCatScript,고양이에 대한 스크립트,Follow_007,
ResultCafeScript,카페에 대한 스크립트,Follow_008,
ResultCafeMemo1,카페에 대한 메모,F1Memo_001,
ResultCafeMemo2,카페에 대한 메모2,F1Memo_002,
ResultReceiptScript,영수증에 대한 스크립트,Follow_009,
ResultReceiptMemo,영수증에 대한 메모,F1Memo_003,
ResultLightScript,신호등에 대한 스크립트,Follow_010,
ResultLightMemo,신호등에 대한 메모,F1Memo_004,
ResultLatteScript,음료에 대한 스크립트,Follow_011,
ResultLatteMemo,음료에 대한 메모,F1Memo_005,
Result1FClothesScript,1층 옷가게에 대한 스크립트,Follow_012,
Result1FClothesMemo,1층 옷가게에 대한 메모,F1Memo_006,
Result2FClothesScript,2층 옷가게에 대한 스크립트,Follow_013,
Result2FClothesMemo,2층 옷가게에 대한 메모,F1Memo_007,
ResultConstructionScript,공사장에 대한 스크립트,Follow_014,
ResultConstructionMemo,공사장에 대한 메모,F1Memo_008,
ResultRestaurantScript,식당에 대한 스크립트,Follow_015,
ResultCocktailBarScript,칵테일바에 대한 스크립트,Follow_016,
ResultCosemeticScript,화장품 가게에 대한 스크립트,Follow_017,
ResultMusicBarScript,뮤직바에 대한 스크립트,Follow_018,
ResultClubScript,클럽에 대한 스크릡트,Follow_019,
ResultPubScript,술집에 대한 스크립트.,Follow_020,뮤직바의 id와 겹치게 해두셔서 pub으로 임시변경해뒀습니다
ResultAngryScript,화난 사람의 대화 스크립트,Follow_021,
ResultAngryFateScript,화난 사람을 본 필연의 스크립트,Follow_022,
ResultAngryMemo,화난 사람에 대한 메모,F1Memo_009,
ResultWreathScript,쓰러진 화환에 스크립트,Follow_023,
ResultWreathMemo,쓰러진 화환에 대한 메모,F1Memo_010,
,,,
ResultFollowMinigameEasy,쉬운 미니게임,,
ResultFollowMinigameNomal,중간 난이도 미니게임 ,,
ResultFollowMinigameHard,어려운 난이도 미니게임,,
,,,
ResultFollowTutorialNextStep_0,,,
ResultFollowTutorialNextStep_1,,,
ResultFollowTutorialNextStep_2,,,
ResultFollowTutorialNextStep_3,,,
ResultFollowTutorialNextStep_4,,,
ResultFollowTutorialNextStep_5,,,
ResultFollowTutorialNextStep_6,,,
ResultFollowTutorialNextStep_7,,,
,,,
ResultFollowEndNextStep,,,
ResultFollowEnd,미행이 끝남,,
,,,
ResultFollow1Tutorial,,,
ResultFollow2Tutorial,,,
ResultFollowTutorialNextStep,,,
,,,
ResultVillaScript2,미행2 빌라에 대한 스크립트,Follow2_001,
ResultBarScript2,미행2 편의점 건물 3층 칵테일바 스크립트,Follow2_002,
ResultBreadScript2,미행2 빵집 스크립트,Follow2_003,
ResultBeerAScript2,미행2 카페 3층 맥주전문점 스크립트,Follow2_004,
ResultIzakayaScript2,미행2 이자카야 스크립트,Follow2_005,
ResultCafeScript2,미행2 카페 스크립트,Follow2_006,
Result3FClothesScript2,미행2 3층 옷가게 스크립트,Follow2_007,
Result2FClothesScript2,미행2 2층 옷가게 스크립트,Follow2_008,
ResultDrinkScript2,미행2 술집 스크립트,Follow2_009,
ResultCocktailBarScript2,미행2 칵테일바 스크립트,Follow2_010,
ResultRestaurantScript2,미행2 식당 스크립트,Follow2_011,
ResultMusicBarScript2,미행2 뮤직바 스크립트,Follow2_012,
ResultCosemeticScript2,미행2 화장품 가게 스크립트,Follow2_013,
ResultBeerBScript2,미행2 클럽 건물 맥주가게 스크립트,Follow2_014,
ResultClubScript2,미행2 클럽 스크립트,Follow2_015,
ResultLightScript2,미행2 신호등 스크립트,Follow2_016,
ResultLightMemo2,미행2 신호등 메모,F2Memo_001,
ResultSolicitationScript2,미행2 호객행위 스크립트 출력,Follow2_018,
ResultSolicitationMemo2,미행2 호객행위 메모 ,F2Memo_002,
ResultConScript2,미행2 편의점 스크립트 출력,Follow2_019,
ResultConMemo2,미행2 편의점 메모 ,F2Memo_003,
ResultTeenageScript2,미행2 가출 청소년 스크립트 출력,Follow2_021,
ResultTeenageMemo2,미행2 가출 청소년 메모,F2Memo_004,
Result1FClothesScript2,미행2 가출 1층 옷가게 스크립트 출력,Follow2_022,
Result1FClothesMemo2,미행2 가출 1층 옷가게 메모,F2Memo_005,
ResultPoliceScript2,미행2 경찰 스크립트,Follow2_027,
ResultPoliceMemo2,미행2 경찰 메모,F2Memo_006,
ResultCigaretteScript2,미행2 담배피는 사람 스크립트,Follow2_028,
ResultCigaretteMemo2,미행2 담배피는 사람 메모,F2Memo_007,
ResultGuardScript2,미행2 클럽가드 스크립트,Follow2_029,
ResultGuardMemo2,미행2 클럽가드 메모,F2Memo_008,
,,,
ResultPrologueLimit,프롤로그 회상 스크립트,Prologue_000,
ResultPrologueQuestions,프롤로그 질문 발생 스크립트,Prologue_Name,
ResultCommonPrologueA,프롤로그 회상 스크립트 스킵,Prologue_002,
ResultCommonPrologueB,프롤로그 질문 발생 스킵,Prologue_008_C,
,,,
ResultBadA_End,,,
ResultBadB_End,,,
ResultTrue_End,,,
ResultHidden_End,,,
,,,
ResultUnlockFOLLOW_1,,,
ResultLockFOLLOW_1,,,
ResultUnlockROOM_2,,,
ResultLockROOM_2,,,
ResultUnlockHidden,,,
ResultUnlockTrue,,,
ResultLockTrueAndHidden,,,
,,,
ResultChangeBGM_BadA,,,
ResultChangeBGM_True,,,
ResultChangeBGM_Hidden,,,
,,,
ResultStreetVideo_NotClear,,,
ResultStreetVideo_Clear,,,
ResultStartDialogue_Follow1Final,,,
ResultBadEndingB_01B,,,