Kor,Eng
쉬고 났더니 꽤 많은 시간이 흐른 것 같았다.,After I’d rested` it felt like quite a lot of time had passed.
그래도 푹 쉬니 편하긴 하네.,Still` after a good rest` I do feel better.
조사하면 시간이 흐른다. 그래도 조사해볼까?,Investigating will make time pass. Investigate anyway?
슬슬 돌아갈 시간 같은데...,Looks like it’s about time to head back...
{PlayerName}....보고 싶다....,{PlayerName}....I miss you....
{PlayerName}도 나만 생각하며 기다리고 있겠지?,{PlayerName} must be waiting for me` thinking only of me too` right?
슬슬 돌아가야겠어! ,Time to head back!
아직 둘러보지 않은 면이 남은 것 같아. 우선 [방의 모든 면을 둘러보자.]\n화면 좌우에 위치한 [화살표 버튼]을 누르면 방의 다른 면으로 갈 수 있다.,It looks like there's still a side we haven't checked yet. First` [Let's check every side of the room.]\nPress the [arrow button] on the left and right sides of the screen to move to another side of the room.
[카펫과 의자가 보이는 면]으로 돌아가서 [카펫을 눌러] 들춰보자.,Go back to [the side where the carpet and chair are visible]` then [press the carpet] to lift it.
[카펫을 눌러] 들춰보자.,[Press down on the carpet] Let's lift it up.
[카펫과 의자가 보이는 면]으로 돌아가서 [종이를 눌러] 조사해보자.,Go back to the [side where the carpet and chair are visible] and [press the paper] to investigate.
[종이를 눌러] 조사해보자.,[Press the paper] Let's investigate.
혹시 모르니까 카펫은 다시 덮어두는 쪽이 좋겠어..,We should cover the carpet back up` just in case..
[카펫을 눌러] 다시 덮어두자.,[Press the carpet] Let's cover it back up.
[카펫을 덮자.],[Let's cover it with the carpet.]
내 생일 말고도 다른 표시가 [하나 더] 되어 있는 것 같은데...?,It looks like there’s [one more] mark besides my birthday…?
{PlayerName}? 왜 여기 있어?,{PlayerName}? Why are you here?
어...,Uh...
난 {PlayerName}을(를) 믿고... 두고 간 건데.... 설마 도망치려 한 건 아니지?,I trusted {PlayerName}... and left you there.... You weren't trying to run away` were you?
열쇠는 고의로 두고 간 거구나.\n내가 섣불렀어.,You left the key on purpose.\nI acted too rashly.
답답해서...,It’s suffocating...
네가 보고 싶어서.,Because I wanted to see you.
내가분명방에있으라고그랬잖아.\n나두고없어지면죽어버린다고그랬잖아,DIDN'T I TELL YOU TO STAY IN THE ROOM?\nDIDN'T I TELL YOU I'D DIE IF YOU DISAPPEARED AND LEFT ME BEHIND?
내가죽었으면좋겠어서그렇게한거야?\n아니다내가없으니까내가너무보고싶었구나?,DID YOU DO THAT BECAUSE YOU WANTED ME TO DIE?\nNO` IT'S BECAUSE I WAS GONE—YOU MISSED ME SO MUCH` DIDN'T YOU?
그치?응{PlayerName}이(가)날배신할일없어\n근데정말왜나온거야?,RIGHT? YEAH` {PlayerName} WOULD NEVER BETRAY ME\nBUT WHY DID YOU REALLY SHOW UP?
내가 무슨 말을 해도 통하는 상태가 아닌 것 같다.,It seems like nothing I say is getting through.
아`그래.{PlayerName}은(는)날너무너무좋아하니까나온거야\n그래서날못보면안되니까그런거야.,
분명전에도내가걱정된다고말해줬으니까\n날생각해서그런거야,
맞아나도항상{PlayerName}을(를)생각하고걱정하고있으니까.,RIGHT` BECAUSE I'M ALWAYS THINKING OF AND WORRYING ABOUT {PlayerName}` TOO.
우리 같이 돌아가자!,Let's go back together!
갑자기 우연이 평소대로 돌아왔다.,Suddenly` Accidy returned to normal.
지금 함께 돌아가야 하나,Do we have to go back together now?
응` 돌아가자,Yeah` let's go back
...,...
내가보고싶었다고?\n정말이야?{PlayerName}은(는)날정말좋아하는구나\n설마나한테거짓말을치진않았겠지,
근데왜내말을안들어주는거야?\n날사랑하지않는건가?\n난항상열심히{PlayerName}을(를)대했는데,
분명{PlayerName}이(가)나오면나죽을지도모른다고했잖아.\n내말은기억도안해주는거야?\n역시내가죽었으면좋겠다고생각했구나,
응!,Yeah!
우연이 팔을 잡아 이끈다.\n우연에 맞춰 무거운 발걸음을 옮겼다.,Accidy grabs my arm and leads me.\nI dragged my heavy feet to keep pace with Accidy.
왜 대답 안 해?,Why won't you answer?
우연이 팔을 잡았다.,Accidy grabbed my arm.
아니면 진짜 내가 죽었으면 좋겠어? ,Or do you really want me to die?
잠시 떨리는 손으로 뭔가를 찾는듯했다.,For a moment` they seemed to be searching for something with trembling hands.
냅두면 큰 일이 날 것 같았다.,It felt like something terrible would happen if I left it alone.
돌아가자.,Let's go back.
응! 돌아가자!,Yeah! Let’s go back!
언제 손을 떨었냐는 듯 금방 원래대로 돌아왔다.,As if their hands had never been shaking` they were back to normal in no time.
우연이 팔을 잡아 이끈다.\n우연에 맞춰 무거운 발걸음을 옮겼다.,Accidy grabs my arm and pulls me along.\nI dragged my heavy feet to match Accidy’s pace.
한 번 조사했던 것이다. 다시 조사해볼까?,I already examined this once. Should I take another look?
술과 감기약이 함께 놓여 있다.\n감기 기운은 없어 보였는데` 감기약이 많이 줄어 있었다.\n자주 이렇게 마시던 걸까?,
침대다. 조사를 할까?\n아님 휴식을 해볼까?,It's a bed. Should I examine it?\nOr try resting?
조사하자.,Let's investigate.
휴식하자.,Let's rest.
카펫을 들추니 자퇴서를 발견했다.\n자퇴서에는 날 가둔 사람의 모습과 이름이 써있었다.\n납치범의 이름은 [우연]이었다,I lifted the carpet and found a school withdrawal form.\nOn the form were a description and the name of the person who had locked me up.\nThe kidnapper’s name was [Accidy].
아` 까먹기 전에 [중요해보이는 단서는 메모]에 적어놔야겠어.,
조사한 [단서에 대해 궁금해지면 메모]를 살펴보자.,
기존에 플레이했던 데이터가 있습니다.\n처음부터를 실행하면 [세이브 파일이 영구적으로 소실]됩니다.\n처음부터 실행하시겠습니까? ,Existing play data found.\nIf you start from the beginning` [save data will be permanently lost].\nStart from the beginning?
처음부터 실행하시겠습니까? ,Start from the beginning?
정말 [처음부터] 실행하시겠습니까? ,Are you sure you want to start [from the beginning]?
내가 갇힌 빌라다.\n밤이라 그런지 어두워 보인다.,This is the villa I'm trapped in.\nIt looks dark` maybe because it's night.
이런 밤에 나올 이유가 있나?,Any reason to be out on a night like this?
칵테일 바다.\n밤이라 그런지 전과 달리 영업 중이다.,The cocktail bar.\nMaybe because it’s night` unlike before` it’s open for business.
시끄럽네,It's noisy.
2층에 있는 빵집이다\n마감 준비를 하고 있는 것 같다.,It's the bakery on the second floor\nLooks like they're getting ready to close.
정신없어 보이네.,You look disoriented.
맥주 전문점이다.\n사람들이 북적인다.,It's a beer bar.\nIt's bustling with people.
시끄러운 소리가 여기까지 들려.,I can hear that loud noise all the way here.
이자카야다.\n꼬치 냄새 때문에 조금 배고파졌다.,It's an izakaya.\nThe smell of skewers made me a little hungry.
맛있겠네....,Looks delicious....
고양이의 티타임.\n아직도 영업중이다.,Cat's Teatime.\nStill open for business.
밤을 새야 할 일이 있을 때 진짜 좋았던 카페야.,This was a really good cafe whenever I had to pull an all-nighter.
캐주얼한 스타일의 옷가게다. ,It’s a casual clothing store.
늦은 시간까지 영업 중이네....,They're still open this late....
우연의 취향과 비슷해 보이는 옷가게다.\n마감 중인 것 같다.,A clothing store that seems to fit Accidy's taste.\nLooks like they're closing up.
술집이다.\n방금 영업을 시작했는지 바빠 보인다.,It's a bar.\nIt looks busy` as if they've just opened for business.
칵테일 바다.\n커플들이 자주 찾는 곳 같다.,A cocktail bar.\nLooks like couples come here a lot.
우연이 자리에 멈춰서 한동안 바라봤다.,Accidy stopped in their tracks and stared for a while.
오므라이스 전문점이다.\n아직 마감 준비를 안 하는 것으로 봐선 늦게까지 영업하나 보다.,It's an omurice specialty restaurant.\nJudging by the fact they haven't started closing up yet` they must stay open late.
와인도 판매하는 건가?,Do they sell wine too?
뮤직바다.\n옛날 영화 속 노래가 작게 여기까지 들린다.,Music Bada.\nA song from an old movie can be heard faintly even here.
여름에 잘 어울리는 곡이라고 생각했는데\n밤에 들으니 꽤 잘 어울리는 것 같기도 하고....,I thought it was a song that suited summer well`\nbut listening to it at night` it actually fits quite well too....
여러 화장품 브랜드를 다루는 화장품 가게다.\n저번에도 세일 중이었던 것 같은데...,A cosmetics store that carries various brands.\nI think they were having a sale last time` too...
밤인데도 사람이 많아.,It's night` but there are a lot of people.
생맥주 전문점이다.\n여기도 사람이 엄청 많다.,It’s a draft beer bar.\nIt’s packed with people here` too.
시끄러워....,Shut up....
클럽이다.\n영업을 시작해서 그런지 귀가 아플 정도로 음악 소리가 울린다.,It's a club.\nMaybe because they're open for the night` the music is pounding loud enough to make my ears ache.
이런 곳을 왜 가는 거지?\n우연도 이런 곳을 좋아하나?,Why are we going to a place like this?\nDoes Accidy like places like this` too?
신호등의 불이 잘 안 들어오고 있다.\n우연은 신호등을 보더니` 잠시 멈춰 한숨을 쉬다가 화가 난 표정으로 손톱을 뜯었다.,
저렇게 화낼만한 일은 아닌 것 같은데...,I don't think it's something to get that angry about...
새로...아.,New... ah.
횡단보도 앞에서 호객행위를 하고 있다.\n우연에게 다가가려 한 것 같은데 우연이 보지도 않고 빠르게 지나갔다.,They’re touting for customers in front of the crosswalk.\nIt looked like they tried to approach Accidy` but Accidy hurried past without even looking.
저번에도 느꼈지만 눈치가 엄청 빠른 것 같단 말이지...\n자주 겪은 일이라 익숙한 건가?,I noticed it before` too—you’re uncannily perceptive...\nIs it because you’ve been through this so often that you’re used to it?
새로 오픈했어요.\n첫방문은 체키 무료니까 놀러와요~,We just opened.\nFirst-time visitors get a free instant photo` so come visit~
아...네....,Ah... yes....
24시간 운영 중인 편의점이다.\n우연이 저기서 또 술을 산 것 같다.,A 24-hour convenience store.\nIt looks like Accidy bought alcohol there again.
점원이 상당히 익숙한 듯 결제해줬다.\n어쩐지 집에 점점 쓰레기가 쌓인다 싶더니 자주 들리나보다.,The clerk rang me up with practiced ease.\nNo wonder the trash keeps piling up at home—I must come here all the time.
다른 것도 꽤 산 것 같은데...,I think we bought quite a bit of other stuff` too...
저기 같이 택톡 찍을래?,Hey` want to shoot a TakTok together?
SNS 같은 거 해? 연결하자.,Are you on social media? Let's connect.
우연과 비슷한 옷차림을 한 가출청소년들이다.\n우연에게 다가가 말을 건 것 같았다. ,They were runaway teens dressed like Accidy.\nIt looked like they went up to Accidy and started talking.
우연도 무슨 얘기를 한 것 같은데…,I think Accidy said something too...
방금 돌아갈 곳이 있다면 빨리 돌아가라 그랬지?,I just told you: if you’ve got somewhere to go back to` go back quickly` didn’t I?
좋은 사람 같았어.\n뭐 돌아갈 곳은 없지만…,They seemed like a good person.\nWell` I don't have anywhere to go back to` but…
편의점에서 방금 산듯한 삼각김밥을 손에 들고 바라보며 얘기하고 있다.,They are talking` staring at a triangular kimbap in their hand that looks like it was just bought at the convenience store.
내 스타일의 옷가게다.\n우연이 방금 들어갔다가 나왔다.,This is my kind of clothing store.\nAccidy just went in and came back out.
우연의 스타일이 아닌데?,That's not Accidy's style` is it?
방에도 내 사이즈의 저 브랜드 옷들이 많았지.,There were plenty of that brand’s clothes in my size in the room` too.
아마....,Maybe....
응급실이 있는 대형 병원이다.\n전에 봤을 땐 공사터였는데 완공됐나 보다.,A large hospital with an emergency room.\nLast time I saw it` it was a construction site` but it looks like it’s finished now.
우연의 방에서 병원의 개업 전단지를 봤었지.,I remember seeing a grand opening flyer for the hospital in Accidy's room.
우연이 병원 앞에서 병원을 꼼꼼히 살펴보았다.,Accidy stood out front and scrutinized the hospital.
병원에 일이라도 있나?,Is there something going on at the hospital?
약은 여기서 처방받은 건 아닌 것 같았는데.,It didn’t seem like the medicine was prescribed here.
하아` 저런 가출하는 애들이 점점 늘어나서 골치 아파 정말.,Sigh` More and more kids like that are running away—what a headache` seriously.
유흥가라 그런지 경찰이 있다.\n경찰은 지나가는 우연을 흘려보듯 바라봤다.,Maybe because it's a nightlife district` there are police around.\nThe police gave Accidy a cursory glance as Accidy walked past.
그러곤 한숨을 내쉬며 신세를 한탄했다.,Then` with a sigh` they bemoaned their lot.
우연이 저 사람 앞에서 심하게 긴장한 것 같은데...,Accidy seemed really nervous in front of that person...
윽` 길거리에서 담배 피는 사람들이다.\n담배 냄새 진짜 싫어.,Ugh` There are people smoking on the street.\nI really hate the smell of cigarettes.
우연도 흠칫 놀란 듯 잠시 그 자리에 멈춰 있었다.,Even Accidy flinched and froze in place for a moment.
정확히 담배에 불을 붙일 때 놀랐던 것 같아.,I think I was startled exactly when I lit my cigarette.
클럽 앞 사람들이다.\n저런 사람들을 가드라고 했었나.,Those are the people in front of the club.\nWere people like that called bouncers?
다들 우연보다 덩치가 엄청나게 크다.,They're all massive compared to Accidy.
우연이 조금 떨리는 것 같아.,Accidy seems a little shaky.
우연이 준 건가...?,Did Accidy give this to me...?
다녀올게! 어제 약속한 거 잊지 마.,I'll be back! Don't forget what we promised yesterday.
우연이 나갔다.\n어제 [5번] 정도 물건을 조사하니 우연이 돌아왔다.,
아마 이번에도 비슷하겠지.\n무리하지 말고 [우연의 귀가 전까지만 조사]를 해야겠다.,It’ll probably be the same this time` too.\nI shouldn’t overdo it; I’ll [investigate only until Accidy returns home].
어때? 맛있어?,How is it? Is it good?
우연은 평소처럼 나한테 음식을 먹였다.,Accidy fed me as usual.
주말 동안은 하루 종일 내 옆에서 SNS만 했기에 방 조사를 할 수 없었다.,Over the weekend` they sat by my side all day doing nothing but social media` so I couldn’t search the room.
음...하아 역시 나가기 싫다.,Hmm... Sigh. I really don't want to go out after all.
나가?,Leave?
응?\n아....오늘은 조금 오래 나가있을 것 같아.,Huh?\nAh.... I think I’ll be out a bit longer today.
우연의 표정이 어두워졌다.\n나한테 뭐가 있다고 저렇게 불안해하는 건지도 모르겠다.,Accidy’s expression darkened.\nI don’t know what Accidy thinks I have that’s making them so on edge.
스토커 납치범 주제에 꼭 잃으면 안 될 것처럼 군다.,For a stalker-kidnapper` he sure acts like it’s something he can’t afford to lose.
알 수 없는 게 너무 많고 아직도 혼란스럽다.,There are too many unknowns` and I'm still confused.
내가 너무너무 보고 싶어도 참고 기다리고 있어.,Even though I miss you so` so much` I’m holding back and waiting.
잠깐...잠깐 확인만 하고 오는 거니까.…,Hold on... I'm just going to check something and be right back...
응….,Yeah….
다녀올게!,I'll be back!
대답만 하면 바로 표정이 바뀐다.\n해맑게 웃긴 하지만...\n무서워.,As soon as I answer` their expression changes.\nThey smile brightly` but...\nI'm scared.
철컥\n또 방문을 닫고 나간다.,
우연이 방을 나가자 몰래 베개 안에 넣어둔 열쇠를 꺼냈다.,As soon as Accidy left the room` I took out the key I’d secretly hidden inside the pillow.
며칠 전에 외출하다가 우연이 잃어버렸다고 생각하던 그 열쇠이다.,It’s the key I thought Accidy lost while we were out a few days ago.
아마 이 방문을 열 수 있을 것이다.,I should be able to open this door.
그리고 우연은 오늘 길게 외출하겠다고 했다.,And Accidy said they'd be out for a long time today.
지금이 기회인 걸까?,Is this my chance?
나는...\n이 방을 나가야 할까?,I...\nShould I leave this room?
도망간다.,I run away.
???????????,???????????
내가 할 수 있는 선택은 아무리 생각해도 도망밖에 없다.,No matter how I look at it` the only choice I have is to run.
꿈을 잘 믿는 편은 아니지만 아무래도 느낌이 좋지 않다.,I don’t usually put much stock in dreams` but something feels off.
우연과 이 이상 함께하는 것은 나만 더 위험해질 뿐이야.,Being with Accidy any longer will only put me in greater danger.
밖으로 나왔다.\n주변은 생각보다 평범했다.,I stepped outside.\nThe surroundings were more ordinary than I expected.
심지어 내가 살던 곳과 그리 멀지 않은 곳이야.,It's not even that far from where I used to live.
우연은 안 보이는 것 같다.,Accidy doesn’t seem to be here.
어서 내 집으로 돌아가야지.\n그리고 다신 이런 일을 겪지 않도록 주의해야겠어.,I should hurry back home.\nAnd I need to be careful not to go through something like this ever again.
경찰에 신고하고 또....,Report it to the police` and then....
{PlayerName}!!!!!!!!!,{PlayerName}!!!!!!!!!
횡단 보도를 건널 때였다.\n누군가 나를 부르는 소리와 함께 순식간에 눈에 담긴 풍경이 변했다. ,I was crossing the crosswalk.\nAt the sound of someone calling my name` the scene before my eyes changed in an instant.
무슨 일이 일어난 거지....,What happened....
놀란 인파 사이에서 한 사람이 달려온다.,Someone comes running out from the startled crowd.
흐릿한 시야로 어느새 익숙해진 형체가 들어온다.,Through my blurred vision` a now-familiar figure comes into view.
우연은 내 손을 잡고 뭐라고 하는 것 같았다.,Accidy held my hand and seemed to be saying something.
왜...왜...왜 벌써.......\n뭐가 잘못된거지...?\n아직 시간이....,Why... why... why so soon.......\nWhat went wrong...?\nThere's still time....
이번엔 분명 전부 잘 해냈는데...,I'm sure I did everything right this time` but...
아.\n그래 꿈이야.\n사실일 리가 없어....,Ah.\nRight` it's a dream.\nIt can't be real....
그렇지 않고서야 벌써 이런 일은...,Otherwise` something like this would have already happened...
뭐라고 말하는 건지 모르겠다.,I don’t know what you’re talking about.
난 어떻게 해야 했지?,What was I supposed to do?
몸에 감각이 없다,I can’t feel my body.
의식도 흐려진다.,Even my consciousness is fading.
모르겠다.,I don't know.
[필연] 엔딩,[Fate] Ending
조건 미충족으로 인해 선택 불가.,Selection unavailable: conditions not met.
제발 멈춰봐!!,Please stop!!
정신을 차리면 달리고 있다.\n멈추면 안 될 것 같다.,When I come to` I'm already running.\nIt feels like I mustn't stop.
나는 도망쳐야 한다,I have to get away.
숨이 턱끝까지 찼다.\n하지만 여기서 절대 죽을 순 없다.,I'm gasping for air.\nBut I can't die here.
멈추는 순간 죽을 거라고 본능적으로 느껴진다.,Instinct tells me I'll die the moment I stop.
계속해서 도망쳐야 한다.,I must keep running.
...다리가 멈췄다.,...My legs froze.
결국 이렇게 된다. ,In the end` it comes to this.
그러게 날 떠나지 말라고 했잖아.,See? I told you not to leave me.
왜 이렇게 내 말을 안 듣는거야?,Why won’t you listen to me?
네가 내 말만 들었으면 이렇게 될 일은 없었어!!!,If you had just listened to me` it wouldn't have come to this!!!
과연 그랬을까?\n머리가 울린다.,Was it really like that?\nMy head is ringing.
전부 네 잘못이야.,It's all your fault.
의식이 흐려진다.,I'm losing consciousness.
난 뭘 어떻게 해야 했던 걸까.,What was I supposed to do?
온몸에서 피가 빠져나가는 게 느껴진다.,I can feel the blood draining from my entire body.
내 앞에 있는 형체 또한 내 피를 뒤집어 쓰고 있다.,The figure in front of me is also drenched in my blood.
의식이 점점 흐려진다.,My consciousness is gradually fading.
날 떠나지 말라고 했잖아.,I told you not to leave me.
결국 나는….\n너를…,In the end` I….\nYou…
힘이 빠지고 차가워진다.,My strength drains away` and I grow cold.
소리가 멀어진다.,The sound grows distant.
허억…!,Gasp…!
...어째 요즘 자주 이 꿈을 꾸는 것 같다.,...For some reason` I’ve been having this dream a lot lately.
누군가 날 죽이러 오는 듯한 꿈.\n악몽에서 깨고 나니 온몸이 땀에 젖어 있었다.,A dream of someone coming to kill me.\nWhen I woke from the nightmare` my whole body was drenched in sweat.
단지 꿈이었을 뿐인데 힘이 다 빠지는 기분이다.,It was only a dream` yet I feel completely drained.
그럼! 혹시 이름은 잘 기억하고 있어?,Alright! Do you still remember the name?
내 이름...,My name...
기억을 가다듬으며 이름을 떠올렸다.,Gathering my thoughts` I recalled the name.
내 이름은...,My name is...
{PlayerName}....,{PlayerName}....
휴...다행이다....!,Phew... thank goodness....!
생일...?,Birthday...?
이때였지 분명...,It was then—I'm sure of it...
맞아! 정말 다행이야!,Yeah! What a relief!
그러면서 막 일어난 나에게 포옹을 했다.,Then they hugged me` right after I woke up.
누가 보면 구구절절한 연인 사이처럼 보일 법한 짓이었다.,It was the kind of thing that` to anyone watching` might have passed for a melodramatic scene between lovers.
난...이 사람을 처음 보는데....,I... I’ve never seen this person before....
아! 갑자기 머리가 아프다.,Ah! My head suddenly hurts.
[도망쳐야해...],[I HAVE TO RUN...]
방금...뭔가...,Just now... something...
그러면 생일은?,Then what about your birthday?
괜찮아?,Are you okay?
아마....,Maybe....
잠깐 머리가 깨질 듯 아프더니 금방 괜찮아졌다.,For a moment` my head felt like it would split open` but it soon subsided.
그나저나 분명 도망치라고 한 것 같은데...,Anyway` I could’ve sworn I told you to run...
머리맡에 놓인 곰인형들이다.,Teddy bears placed by the pillow.
딱히 추가되거나 빠진 곰인형은 없다고 보인다.,It looks like no teddy bears have been added or are missing.
흠... 한 마리가 유독 해진 것 같기도 하고....,Hmm... one of them seems unusually worn....
책상 위에 있는 스탠드 조명이다.,A desk lamp sits on the desk.
곰돌이 귀가 달려 있다,It has teddy bear ears.
방이 어두워지니까 괜히 스탠드 하나가 소중하게 느껴지네...,As the room grows darker` somehow even a single lamp feels precious...
책상 상태를 보니....\n더 건들진 말자...,Judging by the state of the desk....\nBetter not touch it any further...
책들이 마구 어지럽혀져 있다.,The books are strewn all over the place.
원래는 책상이 이렇게 더럽지 않았다.,The desk wasn’t this dirty before.
자주 읽거나 중요해 보이는 책은 없는 것 같다.,There don’t seem to be any frequently read or important-looking books.
무언가를 찾기 위해 뒤적거린 것 같기도 하고....\n혹시 떨어뜨린 게 있나?,Looks like someone was rummaging for something....\nMaybe they dropped something?
그리고...책 밑엔 또 뭔가 깔려있나?,And... is there something else tucked under the book?
책상 밑에 떨어진 책이다.,It's a book that fell under the desk.
이 책은 별로 중요해 보이진 않는다.,This book doesn’t seem very important.
또 다른 책은 없나...,"Is there another book...?"""
선반 위 책들이 마구 흐트러져 있다.,The books on the shelf are in complete disarray.
원래는 가지런히 놓여 있었는데...,They used to be neatly arranged...
다이어리는 제대로 꽂혀있는 듯 하다.,The diary appears to be in place.
다이어리는 나름 자주 쓰는 건가?,Do you use your diary pretty often?
선반 위 곰인형들이 흐트러져 있다.,The teddy bears on the shelf are in disarray.
딱히 뭐가 있어 보이진 않는다.,Doesn't look like there's anything in particular.
다른 곳을 둘러볼까...,Maybe I should look somewhere else...
고장난 시계가 깨져 있다.\n전과 달리 깨져 있다는 것  빼고는 특이점이 없다,The broken clock is shattered.\nAside from it being smashed now` nothing unusual stands out.
아` 새벽쯤에 뭔가 던지는 소리가 났는데 그게 시계였나?,Ah` around dawn` I heard something being thrown—was that the clock?
다칠 수도 있으니 굳이 더 조사하진 말자.,We could get hurt` so let’s not bother investigating further.
평범한 포스터들이다.\n하나하나 늘더니 어느덧 이만큼 늘어났다.,They're ordinary posters.\nOne by one` they piled up` and before I knew it` there were this many.
좋아하는 캐릭터들인가?,Are they your favorite characters?
중간 중간 스티커 같은 것들을 붙여둔 것 같기도 하다.,It looks like someone stuck sticker-like things here and there.
원 안에 별...,A star inside a circle...
옷장 위에 상자가 뒤집혀있다.,An upturned box sits atop the wardrobe.
꺼내려 하다가 뒤집힌 건가?,Did it get flipped over while they were trying to pull it out?
어차피 손도 잘 닫지 않고 필요한 정보도 없어 보인다.,It's out of reach anyway` and it doesn't look like there's any useful information.
다른 걸 조사해볼까...,Maybe I should investigate something else...
옷장 밑에 사진이 널부러져 있다.,Photos are strewn beneath the wardrobe.
아까 상자에서 쏟아져서 나온 건가?,Is that what came spilling out of the box earlier?
사진들에 마구 낙서가 되어 있어서 내용을 파악하기 어렵다.,The photos are scribbled all over` making it hard to make out what’s in them.
주변에 조사할 다른 건 더 없을까?,Is there anything else to investigate around here?
우연이 뒤를 돌 때 나를 봤던 기분이다.,It feels like Accidy saw me when they turned around.
